# Frozen from Eden source revision 612409c7ba.
# Source: src/video_core/renderer_vulkan/maxwell_to_vk.cpp SURFACE_FORMAT_LIST
# State is evaluated against Vulkan-PS5 native_image_format at c3cedbc plus the current integer-format slice.
eden_pixel_format	vk_format	eden_usage	vulkan_ps5_state
A8B8G8R8_UNORM	VK_FORMAT_A8B8G8R8_UNORM_PACK32	usage_attachable | usage_storage	direct
A8B8G8R8_SNORM	VK_FORMAT_A8B8G8R8_SNORM_PACK32	usage_attachable | usage_storage	gap_uncompressed
A8B8G8R8_SINT	VK_FORMAT_A8B8G8R8_SINT_PACK32	usage_attachable | usage_storage	gap_uncompressed
A8B8G8R8_UINT	VK_FORMAT_A8B8G8R8_UINT_PACK32	usage_attachable | usage_storage	gap_uncompressed
R5G6B5_UNORM	VK_FORMAT_R5G6B5_UNORM_PACK16	usage_attachable	gap_uncompressed
B5G6R5_UNORM	VK_FORMAT_B5G6R5_UNORM_PACK16	0	gap_uncompressed
A1R5G5B5_UNORM	VK_FORMAT_A1R5G5B5_UNORM_PACK16	usage_attachable	gap_uncompressed
A2B10G10R10_UNORM	VK_FORMAT_A2B10G10R10_UNORM_PACK32	usage_attachable | usage_storage	direct
A2B10G10R10_UINT	VK_FORMAT_A2B10G10R10_UINT_PACK32	usage_attachable | usage_storage	gap_uncompressed
A2R10G10B10_UNORM	VK_FORMAT_A2R10G10B10_UNORM_PACK32	usage_attachable	gap_uncompressed
A1B5G5R5_UNORM	VK_FORMAT_A1R5G5B5_UNORM_PACK16	usage_attachable	gap_uncompressed
A5B5G5R1_UNORM	VK_FORMAT_R5G5B5A1_UNORM_PACK16	0	gap_uncompressed
R8_UNORM	VK_FORMAT_R8_UNORM	usage_attachable | usage_storage	direct
R8_SNORM	VK_FORMAT_R8_SNORM	usage_attachable | usage_storage	gap_uncompressed
R8_SINT	VK_FORMAT_R8_SINT	usage_attachable | usage_storage	gap_uncompressed
R8_UINT	VK_FORMAT_R8_UINT	usage_attachable | usage_storage	gap_uncompressed
R16G16B16A16_FLOAT	VK_FORMAT_R16G16B16A16_SFLOAT	usage_attachable | usage_storage	direct
R16G16B16A16_UNORM	VK_FORMAT_R16G16B16A16_UNORM	usage_attachable | usage_storage	gap_uncompressed
R16G16B16A16_SNORM	VK_FORMAT_R16G16B16A16_SNORM	usage_attachable | usage_storage	gap_uncompressed
R16G16B16A16_SINT	VK_FORMAT_R16G16B16A16_SINT	usage_attachable | usage_storage	direct
R16G16B16A16_UINT	VK_FORMAT_R16G16B16A16_UINT	usage_attachable | usage_storage	direct
B10G11R11_FLOAT	VK_FORMAT_B10G11R11_UFLOAT_PACK32	usage_attachable | usage_storage	direct
R32G32B32A32_UINT	VK_FORMAT_R32G32B32A32_UINT	usage_attachable | usage_storage	direct
BC1_RGBA_UNORM	VK_FORMAT_BC1_RGBA_UNORM_BLOCK	0	direct
BC2_UNORM	VK_FORMAT_BC2_UNORM_BLOCK	0	direct
BC3_UNORM	VK_FORMAT_BC3_UNORM_BLOCK	0	direct
BC4_UNORM	VK_FORMAT_BC4_UNORM_BLOCK	0	direct
BC4_SNORM	VK_FORMAT_BC4_SNORM_BLOCK	0	direct
BC5_UNORM	VK_FORMAT_BC5_UNORM_BLOCK	0	direct
BC5_SNORM	VK_FORMAT_BC5_SNORM_BLOCK	0	direct
BC7_UNORM	VK_FORMAT_BC7_UNORM_BLOCK	0	direct
BC6H_UFLOAT	VK_FORMAT_BC6H_UFLOAT_BLOCK	0	direct
BC6H_SFLOAT	VK_FORMAT_BC6H_SFLOAT_BLOCK	0	direct
ASTC_2D_4X4_UNORM	VK_FORMAT_ASTC_4x4_UNORM_BLOCK	0	transcode_required_astc
B8G8R8A8_UNORM	VK_FORMAT_B8G8R8A8_UNORM	usage_attachable | usage_storage	direct
R32G32B32A32_FLOAT	VK_FORMAT_R32G32B32A32_SFLOAT	usage_attachable | usage_storage	direct
R32G32B32A32_SINT	VK_FORMAT_R32G32B32A32_SINT	usage_attachable | usage_storage	direct
R32G32_FLOAT	VK_FORMAT_R32G32_SFLOAT	usage_attachable | usage_storage	direct
R32G32_SINT	VK_FORMAT_R32G32_SINT	usage_attachable | usage_storage	gap_uncompressed
R32_FLOAT	VK_FORMAT_R32_SFLOAT	usage_attachable | usage_storage	direct
R16_FLOAT	VK_FORMAT_R16_SFLOAT	usage_attachable | usage_storage	direct
