symbol	category	native_owner	regression_gate
agcCbAllocDwords	command	AgcCommandBuffer	vulkan_ps5.command_recording
agcCbInit	command	AgcCommandBuffer	vulkan_ps5.command_recording
agcCbReset	command	AgcCommandBuffer	vulkan_ps5.command_recording
agcCbUsedDwords	command	AgcCommandBuffer	vulkan_ps5.command_recording
agcGfx1013ApplyComputeDefaultsV8	pipeline	AgcComputePipeline	vulkan_ps5.command_recording
agcGfx1013ApplyPolygonMode	pipeline	AgcGraphicsPipeline	vulkan_ps5.pipeline
agcGfx1013BufferDescriptorEncode	resource	AgcBuffer	vulkan_ps5.command_recording
agcGfx1013BuildFramePrologue	command	AgcCommandBuffer	vulkan_ps5.command_recording
agcGfx1013BuildTessellationOffchipLayouts	pipeline	AgcGraphicsPipeline	vulkan_ps5.pipeline
agcGfx1013BuildTessellationRingTable	pipeline	AgcGraphicsPipeline	vulkan_ps5.pipeline
agcGfx1013CombinedImageSamplerDescriptorEncode	resource	AgcImageView/AgcSampler	vulkan_ps5.command_recording
agcGfx1013DispatchCompute	command	AgcCommandBuffer	vulkan_ps5.command_recording
agcGfx1013DrawBaselineIndexAuto	command	AgcCommandBuffer	vulkan_ps5.command_recording
agcGfx1013DrawBaselineIndexed	command	AgcCommandBuffer	vulkan_ps5.command_recording
agcGfx1013DrawTessIndexAuto	command	AgcCommandBuffer	vulkan_ps5.command_recording
agcGfx1013GetColorSurfaceLayout	resource	AgcImage	vulkan_ps5.lifecycle
agcGfx1013GetDepthSurfaceLayout	resource	AgcImage	vulkan_ps5.lifecycle
agcGfx1013Image2DDescriptorEncode	resource	AgcImageView	vulkan_ps5.command_recording
agcGfx1013InitColorTarget	resource	AgcImage	vulkan_ps5.command_recording
agcGfx1013RawBufferDescriptorEncode	resource	AgcBuffer	vulkan_ps5.command_recording
agcGfx1013SetColorBlendState	pipeline	AgcGraphicsPipeline	vulkan_ps5.pipeline
agcGfx1013SetDepthBiasState	pipeline	AgcGraphicsPipeline	vulkan_ps5.pipeline
agcGfx1013SetPrimitiveSizeState	pipeline	AgcGraphicsPipeline	vulkan_ps5.pipeline
agcGfx1013SetBorderColorTable	resource	AgcSampler	vulkan_ps5.custom_border_color_command_recording
agcGfx1013SetTessellationRings	pipeline	AgcGraphicsPipeline	vulkan_ps5.pipeline
agcGfx1013SignalEopFence	synchronization	AgcFence	vulkan_ps5.command_recording
agcGfx1013TransitionResource	transition	AgcResourceTransition	vulkan_ps5.command_recording
agcGpuMemoryAllocateFlexible	memory	AgcImage/AgcBuffer	vulkan_ps5.eden_vma
agcGpuMemoryFlush	memory	AgcBuffer/AgcImage	vulkan_ps5.lifecycle
agcGpuMemoryFreeFlexible	memory	AgcImage/AgcBuffer	vulkan_ps5.eden_vma
agcGpuMemoryWait32	synchronization	AgcFence	vulkan_ps5.command_recording
sceAgcDriverSetTFRing	pipeline	AgcGraphicsPipeline	vulkan_ps5.pipeline
sceAgcDriverSubmitDcb	synchronization	AgcQueue	vulkan_ps5.command_recording
sceAgcFuseShaderHalves_0200	shader	AgcShader	vulkan_ps5.pipeline
